,ISU_CD,ISU_SRT_CD,ISU_NM,ISU_ABBRV,ISU_ENG_NM,LIST_DD,ETF_OBJ_IDX_NM,IDX_CALC_INST_NM1,IDX_CALC_INST_NM2,ETF_REPLICA_METHD_TP_CD,IDX_MKT_CLSS_NM,IDX_ASST_CLSS_NM,LIST_SHRS,COM_ABBRV,CU_QTY,ETF_TOT_FEE,TAX_TP_CD
207,KR7138530001,138530,미래에셋 TIGER LG그룹+ 증권상장지수투자신탁(주식),TIGER LG그룹+펀더멘털,MIRAE ASSET TIGER LG GROUP+ ETF,2011/03/10,MKF LG그룹+ FW,FnGuide,일반,실물(패시브),국내,주식,"1,560,000",미래에셋자산운용,"20,000",0.150000,비과세
208,KR7445910003,445910,미래에셋 TIGER MKF배당귀족증권상장지수투자신탁(주식),TIGER MKF배당귀족,MIRAE ASSET TIGER MKF Dividend Aristocrats ETF,2022/10/18,MKF 배당귀족 지수(시장가격지수),FnGuide,일반,실물(패시브),국내,주식,"1,300,000",미래에셋자산운용,"50,000",0.200000,비과세
209,KR7289260002,289260,미래에셋 TIGER MSCI KOREA ESG리더스증권상장지수투자신탁(주식),TIGER MSCI KOREA ESG리더스,MIRAE ASSET TIGER MSCI KOREA ESG LEADERS ETF,2018/02/07,MSCI Korea Country ESG Leaders Capped Index,MSCI,일반,실물(패시브),국내,주식,"1,980,000",미래에셋자산운용,"30,000",0.400000,비과세
210,KR7289250003,289250,미래에셋 TIGER MSCI KOREA ESG유니버설증권상장지수투자신탁(주식),TIGER MSCI KOREA ESG유니버설,MIRAE ASSET TIGER MSCI KOREA ESG UNIVERSAL ETF,2018/02/07,MSCI Korea ESG Universal Index,MSCI,일반,실물(패시브),국내,주식,"690,000",미래에셋자산운용,"30,000",0.400000,비과세
211,KR7310970009,310970,미래에셋 TIGER MSCI Korea Total Return증권상장지수투자신탁(주식),TIGER MSCI Korea TR,MIRAE ASSET TIGER MSCI Korea Total Return ETF,2018/11/20,MSCI Korea TR Index,MSCI,일반,실물(패시브),국내,주식,"71,100,000",미래에셋자산운용,"100,000",0.120000,배당소득세(보유기간과세)
212,KR7143850006,143850,미래에셋 TIGER S&P500선물 증권상장지수투자신탁(주식-파생형),TIGER 미국S&P500선물(H),MIRAE ASSET TIGER S&P500 FUTURES ETF,2011/07/18,S&P 500 Futures Index(ER),S&P,일반,실물(패시브),해외,주식,"5,675,000",미래에셋자산운용,"25,000",0.300000,배당소득세(보유기간과세)
213,KR7269370003,269370,미래에셋 TIGER S&P글로벌인프라증권상장지수투자신탁 (주식-파생형)(합성),TIGER S&P글로벌인프라(합성),MIRAEASSET TIGER SYNTH-S&P GLOBAL INFRASTRUCTURE ETF,2017/05/16,S&P Global Infrastructure Index,S&P,일반,합성(패시브),해외,주식,"650,000",미래에셋자산운용,"50,000",0.400000,배당소득세(보유기간과세)
214,KR7292150000,292150,미래에셋 TIGER TOP10증권상장지수투자신탁(주식),TIGER TOP10,MIRAE ASSET TIGER TOP10 ETF,2018/03/30,FnGuide TOP10 지수,FnGuide,일반,실물(패시브),국내,주식,"130,800,000",미래에셋자산운용,"50,000",0.150000,비과세
215,KR7453950008,453950,미래에셋 TIGER TSMC밸류체인FACTSET증권상장지수투자신탁(주식),TIGER TSMC밸류체인FACTSET,Mirae Asset TIGER TSMC Value Chain FACTSET ETF,2023/04/04,FactSet TSMC 밸류체인 지수(시장가격지수),FACTSET,일반,실물(패시브),해외,주식,"1,100,000",미래에셋자산운용,"50,000",0.490000,배당소득세(보유기간과세)
216,KR7364990002,364990,미래에셋 TIGER 게임TOP10 증권상장지수투자신탁(주식),TIGER 게임TOP10,MIRAE ASSET KRX TIGER GAME K-NEW DEAL ETF,2020/10/07,KRX 게임 TOP 10 지수,KRX,일반,실물(패시브),국내,주식,"3,400,000",미래에셋자산운용,"50,000",0.400000,비과세
217,KR7139280002,139280,미래에셋 TIGER 경기방어 증권상장지수투자신탁(주식),TIGER 경기방어,MIRAE ASSET TIGER CONSUMER STAPLES ETF,2011/04/06,코스피 200 경기방어소비재,KRX,일반,실물(패시브),국내,주식,"7,120,000",미래에셋자산운용,"20,000",0.400000,비과세
218,KR7237440003,237440,미래에셋 TIGER 경기방어혼합 증권상장지수투자신탁(채권혼합),TIGER 경기방어채권혼합,MIRAE ASSET TIGER CONSUMER GOODS BALANCED ETF,2016/01/27,경기방어소비재 채권혼합 지수,KRX,일반,실물(패시브),국내,혼합자산,"800,000",미래에셋자산운용,"100,000",0.200000,배당소득세(보유기간과세)
219,KR7319640009,319640,미래에셋 TIGER 골드선물특별자산상장지수투자신탁(금-파생형)(H),TIGER 골드선물(H),MIRAE ASSET TIGER GOLD FUTURES ETF(H),2019/04/09,S&P GSCI Gold Index(TR),S&P,일반,실물(패시브),해외,원자재,"2,300,000",미래에셋자산운용,"50,000",0.390000,배당소득세(보유기간과세)
220,KR7160580007,160580,미래에셋 TIGER 구리실물 특별자산상장지수투자신탁(금속),TIGER 구리실물,MIRAE ASSET TIGER PHYSICAL COPPER ETF,2012/12/17,S&P GSCI Cash Copper Index,S&P,일반,실물(패시브),해외,원자재,"2,350,000",미래에셋자산운용,"25,000",0.830000,배당소득세(보유기간과세)
221,KR7114820004,114820,미래에셋 TIGER 국채3 증권상장지수투자신탁(채권),TIGER 국채3년,MIRAE ASSET TIGER KTB3 ETF,2009/08/27,KTB INDEX(시장가격),KRX,일반,실물(패시브),국내,채권,"574,000",미래에셋자산운용,"1,000",0.125000,배당소득세(보유기간과세)
222,KR7464310002,464310,미래에셋 TIGER 글로벌AI&로보틱스INDXX증권상장지수투자신탁(주식),TIGER 글로벌AI&로보틱스 INDXX,MIRAE ASSET TIGER Global Artificial Intelligence & Robotics INDXX ETF,2023/08/17,Indxx Global Robotics & Artificial Intelligence Thematic Index(Net Total Return),Indxx,일반,실물(패시브),해외,주식,"2,350,000",미래에셋자산운용,"50,000",0.490000,배당소득세(보유기간과세)
223,KR7466950003,466950,미래에셋 TIGER 글로벌AI액티브증권상장지수투자신탁(주식),TIGER 글로벌AI액티브,MIRAE ASSET TIGER GLOBAL AI ACTIVE ETF,2023/10/11,Indxx Artificial Intelligence and Big Data 지수(Net Total Return),Indxx,일반,실물(액티브),해외,주식,"2,270,000",미래에셋자산운용,"10,000",0.790000,배당소득세(보유기간과세)
224,KR7387270002,387270,미래에셋 TIGER 글로벌BBIG액티브증권상장지수투자신탁(주식-재간접형),TIGER 글로벌BBIG액티브,MIRAE ASSET TIGER GLOBAL BBIG ACTIVE ETF,2021/05/25,NASDAQ 100,NASDAQ,일반,실물(액티브),해외,주식,"3,360,000",미래에셋자산운용,"10,000",0.550000,배당소득세(보유기간과세)
225,KR7440340008,440340,미래에셋 TIGER 글로벌멀티에셋TIF액티브증권상장지수투자신탁(채권혼합),TIGER 글로벌멀티에셋TIF액티브,MIRAE ASSET TIGER Global Multi Asset TIF Active ETF,2022/08/30,INDXX 멀티에셋인컴 지수(시장가격 지수),Indxx,일반,실물(액티브),해외,혼합자산,"2,750,000",미래에셋자산운용,"50,000",0.550000,배당소득세(보유기간과세)
226,KR7412770000,412770,미래에셋 TIGER 글로벌메타버스액티브증권상장지수투자신탁(주식),TIGER 글로벌메타버스액티브,MIRAE ASSET TIGER GLOBAL METAVERSE ACTIVE ETF,2021/12/22,Indxx Global Metaverse Index (Price Return),Indxx,일반,실물(액티브),해외,주식,"18,730,000",미래에셋자산운용,"10,000",0.790000,배당소득세(보유기간과세)
227,KR7418670006,418670,미래에셋 TIGER 글로벌사이버보안INDXX증권상장지수투자신탁(주식),TIGER 글로벌사이버보안INDXX,MIRAE ASSET TIGER GLOBAL CYBERSECURITY INDXX ETF,2022/02/22,Indxx Cybersecurity 지수 (총수익),Indxx,일반,실물(패시브),해외,주식,"1,040,000",미래에셋자산운용,"40,000",0.490000,배당소득세(보유기간과세)
228,KR7371450008,371450,미래에셋 TIGER 글로벌클라우드컴퓨팅INDXX증권상장지수투자신탁(주식-파생형),TIGER 글로벌클라우드컴퓨팅INDXX,MIRAE ASSET TIGER GLOBAL CLOUD COMPUTING INDXX ETF,2020/12/08,Indxx Global Cloud Computing Index(Net Total Return),Indxx,일반,실물(패시브),해외,주식,"4,720,000",미래에셋자산운용,"40,000",0.490000,배당소득세(보유기간과세)
229,KR7248270001,248270,미래에셋 TIGER 글로벌헬스케어 증권상장지수투자신탁(주식-파생형)(합성),TIGER S&P글로벌헬스케어(합성),MIRAE ASSET TIGER SYNTH-GLOBAL HEALTHCARE ETF,2016/07/01,S&P Global 1200 Health Care Index,S&P,일반,합성(패시브),해외,주식,"1,540,000",미래에셋자산운용,"20,000",0.400000,배당소득세(보유기간과세)
230,KR7464930007,464930,미래에셋 TIGER 글로벌혁신블루칩TOP10증권상장지수투자신탁(주식),TIGER 글로벌혁신블루칩TOP10,MIRAE ASSET TIGER Global Innovative Bluechip Top 10 ETF,2023/08/29,Mirae Asset Global Innovative Bluechip Top 10 Index(NTR),Mirae Asset Global Indices,일반,실물(패시브),해외,주식,"10,200,000",미래에셋자산운용,"50,000",0.490000,배당소득세(보유기간과세)
231,KR7139310007,139310,미래에셋 TIGER 금속선물 특별자산상장지수투자신탁(금속-파생형),TIGER 금속선물(H),MIRAE ASSET TIGER METAL FUTURES ETF,2011/04/08,S&P GSCI Industrial Metals Select Index(TR),S&P,일반,실물(패시브),해외,원자재,"600,000",미래에셋자산운용,"100,000",0.690000,배당소득세(보유기간과세)
232,KR7139320006,139320,미래에셋 TIGER 금은선물 특별자산상장지수투자신탁(금속-파생형),TIGER 금은선물(H),MIRAE ASSET TIGER PRECIOUS METAL FUTURES ETF,2011/04/08,S&P GSCI Precious Metals Index(TR),S&P,일반,실물(패시브),해외,원자재,"800,000",미래에셋자산운용,"50,000",0.690000,배당소득세(보유기간과세)
233,KR7137610002,137610,미래에셋 TIGER 농산물선물 특별자산상장지수투자신탁(농산물-파생형),TIGER 농산물선물Enhanced(H),MIRAE ASSET TIGER AGRI FUTURES ETF,2011/01/11,S&P GSCI Agriculture Enhanced Index(ER),S&P,일반,실물(패시브),해외,원자재,"2,600,000",미래에셋자산운용,"100,000",0.690000,배당소득세(보유기간과세)
234,KR7272580002,272580,미래에셋 TIGER 단기채권액티브증권상장지수투자신탁(채권),TIGER 단기채권액티브,MIRAE ASSET TIGER MONEY MARKET ACTIVE ETF,2017/06/29,KIS MSB 6M PLUS 지수,KIS자산평가,일반,실물(액티브),국내,채권,"11,422,000",미래에셋자산운용,"2,000",0.070000,배당소득세(보유기간과세)
235,KR7157450008,157450,미래에셋 TIGER 단기통안채증권상장지수투자신탁(채권),TIGER 단기통안채,MIRAE ASSET TIGER MONEY MARKET ETF,2012/05/16,KIS MSB 6M(총수익),KIS자산평가,일반,실물(패시브),국내,채권,"6,271,000",미래에셋자산운용,"1,000",0.090000,배당소득세(보유기간과세)
236,KR7105010003,105010,미래에셋 TIGER 라틴 증권상장지수투자신탁(주식),TIGER 라틴35,MIRAE ASSET TIGER LATIN ETF,2008/08/27,BNY Latin America 35 ADR,BNY Mellon,일반,실물(패시브),해외,주식,"1,400,000",미래에셋자산운용,"100,000",0.490000,배당소득세(해외주식투자전용ETF)
237,KR7123320004,123320,미래에셋 TIGER 레버리지 증권상장지수투자신탁(주식-파생형),TIGER 레버리지,MIRAE ASSET TIGER LEVERAGE ETF,2010/04/09,코스피 200,KRX,2X 레버리지,실물(패시브),국내,주식,"2,600,000",미래에셋자산운용,"100,000",0.022000,배당소득세(보유기간과세)
238,KR7341850006,341850,미래에셋 TIGER 리츠부동산인프라채권TR KIS부동산상장지수투자신탁(재간접형),TIGER 리츠부동산인프라채권TR KIS,MIRAE ASSET TIGER REITS REAL ESTATE INFRA BOND TR KIS ETF,2020/05/22,KIS 리츠부동산인프라채권TR 지수,KIS자산평가,일반,실물(패시브),국내,혼합자산,"5,500,000",미래에셋자산운용,"50,000",0.220000,배당소득세(분리과세부동산ETF)
239,KR7329200000,329200,미래에셋 TIGER 리츠부동산인프라혼합자산상장지수투자신탁(재간접형),TIGER 리츠부동산인프라,MIRAE ASSET TIGER REITS REAL ESTATE INFRA ETF,2019/07/19,FnGuide 리츠부동산인프라,FnGuide,일반,실물(패시브),국내,부동산,"73,200,000",미래에셋자산운용,"50,000",0.290000,비과세
240,KR7147970008,147970,미래에셋 TIGER 모멘텀 증권상장지수투자신탁(주식),TIGER 모멘텀,MIRAE ASSET TIGER MOMENTUM ETF,2011/10/26,FnGuide 모멘텀 지수,FnGuide,일반,실물(패시브),국내,주식,"220,000",미래에셋자산운용,"20,000",0.290000,비과세
241,KR7448290007,448290,미래에셋 TIGER 미국S&P500TotalReturn증권상장지수투자신탁(주식-파생형)(H),TIGER 미국S&P500TR(H),MIRAE ASSET TIGER S&P500 Total Return ETF(H),2022/11/25,S&P 500 Total Return Index,S&P,일반,실물(패시브),해외,주식,"14,000,000",미래에셋자산운용,"50,000",0.070000,배당소득세(보유기간과세)
242,KR7429000003,429000,미래에셋 TIGER 미국S&P500배당귀족증권상장지수투자신탁(주식),TIGER 미국S&P500배당귀족,MIRAE ASSET TIGER S&P500 DIVIDEND ARISTOCRATS ETF,2022/05/17,S&P 500 Dividend Aristocrats 지수 (Price Return),S&P,일반,실물(패시브),해외,주식,"3,250,000",미래에셋자산운용,"50,000",0.250000,배당소득세(보유기간과세)
243,KR7360750004,360750,미래에셋 TIGER 미국S&P500증권상장지수투자신탁(주식),TIGER 미국S&P500,MIRAE ASSET TIGER S&P500 ETF,2020/08/07,S&P 500,S&P,일반,실물(패시브),해외,주식,"139,350,000",미래에셋자산운용,"50,000",0.070000,배당소득세(보유기간과세)
244,KR7435420005,435420,미래에셋 TIGER 미국나스닥100TR채권혼합Fn증권상장지수투자신탁(채권혼합),TIGER 미국나스닥100TR채권혼합Fn,MIRAE ASSET TIGER Nasdaq100 TR Balanced ETF,2022/07/06,FnGuide 나스닥100 채권혼합 지수(총수익 지수),FnGuide,일반,실물(패시브),국내&해외,혼합자산,"2,600,000",미래에셋자산운용,"50,000",0.250000,배당소득세(보유기간과세)
245,KR7448300004,448300,미래에셋 TIGER 미국나스닥100TotalReturn증권상장지수투자신탁(주식-파생형)(H),TIGER 미국나스닥100TR(H),MIRAE ASSET TIGER NASDAQ 100 Total Return ETF(H),2022/11/25,NASDAQ-100 Total Return Index,NASDAQ,일반,실물(패시브),해외,주식,"7,400,000",미래에셋자산운용,"50,000",0.070000,배당소득세(보유기간과세)
246,KR7418660007,418660,미래에셋 TIGER 미국나스닥100레버리지증권상장지수투자신탁(주식혼합-파생형)(합성),TIGER 미국나스닥100레버리지(합성),MIRAE ASSET TIGER SYNTH-NASDAQ 100 LEVERAGE ETF,2022/02/22,NASDAQ 100,NASDAQ,2X 레버리지,합성(패시브),해외,주식,"3,100,000",미래에셋자산운용,"50,000",0.250000,배당소득세(보유기간과세)
247,KR7133690008,133690,미래에셋 TIGER 미국나스닥100증권상장지수투자신탁(주식),TIGER 미국나스닥100,MIRAE ASSET TIGER NASDAQ100 ETF,2010/10/18,NASDAQ 100,NASDAQ,일반,실물(패시브),해외,주식,"26,650,000",미래에셋자산운용,"10,000",0.070000,배당소득세(해외주식투자전용ETF)
248,KR7441680006,441680,미래에셋 TIGER 미국나스닥100커버드콜증권상장지수투자신탁(주식-파생형)(합성),TIGER 미국나스닥100커버드콜(합성),MIRAE ASSET TIGER SYNTH-Nasdaq100 Covered Call ETF,2022/09/22,Cboe Nasdaq-100 BuyWrite V2 지수 (Total Return),NASDAQ,일반,합성(패시브),해외,주식,"23,300,000",미래에셋자산운용,"50,000",0.370000,배당소득세(보유기간과세)
249,KR7429010002,429010,미래에셋 TIGER 미국나스닥넥스트100증권상장지수투자신탁(주식),TIGER 미국나스닥넥스트100,MIRAE ASSET TIGER NASDAQ NEXT 100 ETF,2022/05/17,Nasdaq Next Generation 100 지수 (Price Return),NASDAQ,일반,실물(패시브),해외,주식,"800,000",미래에셋자산운용,"50,000",0.490000,배당소득세(보유기간과세)
250,KR7245340005,245340,미래에셋 TIGER 미국다우존스30 증권상장지수투자신탁(주식-파생형),TIGER 미국다우존스30,MIRAE ASSET TIGER DOW JONES 30 ETF,2016/07/01,Dow Jones Industrial Average,S&P,일반,실물(패시브),해외,주식,"3,640,000",미래에셋자산운용,"20,000",0.350000,배당소득세(해외주식투자전용ETF)
251,KR7456610005,456610,미래에셋 TIGER 미국달러SOFR금리액티브특별자산상장지수투자신탁(금리-파생형)(합성),TIGER 미국달러SOFR금리액티브(합성),MIRAE ASSET TIGER USD SYNTH-SOFR ACTIVE ETF,2023/05/09,Solactive SOFR Daily Total Return Index,Solactive,일반,합성(액티브),해외,기타,"3,894,000",미래에셋자산운용,"2,000",0.050000,배당소득세(보유기간과세)
252,KR7329750004,329750,미래에셋 TIGER 미국달러단기채권액티브증권상장지수투자신탁(채권-파생형),TIGER 미국달러단기채권액티브,MIRAE ASSET TIGER USD MONEY MARKET ACTIVE ETF,2019/07/24,KIS U.S. TREASURY BOND 0-1Y 지수(총수익),KIS자산평가,일반,실물(액티브),해외,채권,"47,610,000",미래에셋자산운용,"10,000",0.300000,배당소득세(보유기간과세)
253,KR7261110001,261110,미래에셋 TIGER 미국달러선물레버리지특별자산상장지수투자신탁(달러-파생형),TIGER 미국달러선물레버리지,MIRAE ASSET TIGER USD Futures Leverage ETF,2016/12/27,미국달러선물지수,KRX,2X 레버리지,실물(패시브),국내,통화,"600,000",미래에셋자산운용,"100,000",0.050000,배당소득세(보유기간과세)
254,KR7261120000,261120,미래에셋 TIGER 미국달러선물인버스2X특별자산상장지수투자신탁(달러-파생형),TIGER 미국달러선물인버스2X,MIRAE ASSET TIGER USD Futures Inverse2X ETF,2016/12/27,미국달러선물지수,KRX,2X 인버스,실물(패시브),국내,통화,"3,400,000",미래에셋자산운용,"100,000",0.050000,배당소득세(보유기간과세)
255,KR7458750007,458750,미래에셋 TIGER 미국배당+3%프리미엄다우존스증권상장지수투자신탁(주식-파생형),TIGER 미국배당+3%프리미엄다우존스,MIRAE ASSET TIGER US Dividend +3% Premium ETF,2023/06/20,DowJones U.S. Dividend 100 3% Premium Covered Call 지수 (TR),S&P,일반,실물(패시브),해외,주식,"3,350,000",미래에셋자산운용,"50,000",0.390000,배당소득세(보유기간과세)
256,KR7458760006,458760,미래에셋 TIGER 미국배당+7%프리미엄다우존스증권상장지수투자신탁(주식-파생형),TIGER 미국배당+7%프리미엄다우존스,MIRAE ASSET TIGER US Dividend +7% Premium ETF,2023/06/20,DowJones U.S. Dividend 100 7% Premium Covered Call 지수 (TR),S&P,일반,실물(패시브),해외,주식,"25,200,000",미래에셋자산운용,"50,000",0.390000,배당소득세(보유기간과세)
257,KR7458730009,458730,미래에셋 TIGER 미국배당다우존스증권상장지수투자신탁(주식),TIGER 미국배당다우존스,MIRAE ASSET TIGER U.S. Dividend Equity ETF,2023/06/20,Dow Jones U.S. Dividend 100 Price Return Index,S&P,일반,실물(패시브),해외,주식,"28,900,000",미래에셋자산운용,"50,000",0.010000,배당소득세(보유기간과세)
258,KR7305080004,305080,미래에셋 TIGER 미국채10년선물증권상장지수투자신탁(채권-파생형),TIGER 미국채10년선물,MIRAE ASSET TIGER 10Y U.S. TREASURY NOTE FUTURES ETF,2018/08/30,S&P 10-Year U.S. Treasury Note Futures(ER),S&P,일반,실물(패시브),해외,채권,"10,300,000",미래에셋자산운용,"100,000",0.290000,배당소득세(보유기간과세)
259,KR7458250008,458250,미래에셋 TIGER 미국채30년스트립액티브증권상장지수투자신탁(채권-파생형)(합성 H),TIGER 미국채30년스트립액티브(합성 H),MIRAE ASSET TIGER US T-BOND 30Y STRIPS SYNTH ACTIVE ETF(H),2023/05/31,ICE BofA Long US Treasury Principal STRIPS Index,"ICE Data Indices, LLC",일반,합성(액티브),해외,채권,"3,310,000",미래에셋자산운용,"2,000",0.150000,배당소득세(보유기간과세)
260,KR7465670008,465670,미래에셋 TIGER 미국캐시카우100증권상장지수투자신탁(주식),TIGER 미국캐시카우100,MIRAE ASSET TIGER U.S. Cash Cow 100 ETF,2023/09/19,Global X U.S. Cash Flow Kings 100 Index(TR),Mirae Asset Global Indices,일반,실물(패시브),해외,주식,"1,000,000",미래에셋자산운용,"50,000",0.250000,배당소득세(보유기간과세)
261,KR7381170000,381170,미래에셋 TIGER 미국테크TOP10 INDXX증권상장지수투자신탁(주식),TIGER 미국테크TOP10 INDXX,MIRAE ASSET TIGER US Tech TOP10 INDXX ETF,2021/04/09,Indxx US Tech Top 10 Index,Indxx,일반,실물(패시브),해외,주식,"111,950,000",미래에셋자산운용,"50,000",0.490000,배당소득세(보유기간과세)
262,KR7472160001,472160,미래에셋 TIGER 미국테크TOP10 INDXX증권상장지수투자신탁(주식)(H),TIGER 미국테크TOP10 INDXX(H),MIRAE ASSET TIGER US Tech Top10 INDXX ETF(H),2023/12/05,Indxx US Tech Top 10 Index,Indxx,일반,실물(패시브),해외,주식,"1,500,000",미래에셋자산운용,"50,000",0.490000,배당소득세(보유기간과세)
263,KR7472170000,472170,미래에셋 TIGER 미국테크TOP10채권혼합증권상장지수투자신탁(채권혼합),TIGER 미국테크TOP10채권혼합,MIRAE ASSET TIGER US Tech Top10 Balanced ETF,2023/12/05,FnGuide 미국테크TOP10 채권혼합지수,FnGuide,일반,실물(패시브),국내&해외,혼합자산,"1,500,000",미래에셋자산운용,"50,000",0.250000,배당소득세(보유기간과세)
264,KR7458260007,458260,미래에셋 TIGER 미국투자등급회사채액티브증권상장지수투자신탁(채권)(H),TIGER 미국투자등급회사채액티브(H),MIRAE ASSET TIGER US INVESTMENT GRADE CORPORATE BOND ACTIVE ETF(H),2023/05/31,iBoxx USD Liquid Investment Grade Index(Price Return),S&P,일반,실물(액티브),해외,채권,"1,428,000",미래에셋자산운용,"2,000",0.140000,배당소득세(보유기간과세)
265,KR7381180009,381180,미래에셋 TIGER 미국필라델피아반도체나스닥증권상장지수투자신탁(주식),TIGER 미국필라델피아반도체나스닥,MIRAE ASSET TIGER US PHLX Semiconductor Sector Nasdaq ETF,2021/04/09,PHLX Semiconductor Sector Index,NASDAQ,일반,실물(패시브),해외,주식,"115,700,000",미래에셋자산운용,"50,000",0.490000,배당소득세(보유기간과세)
266,KR7228810008,228810,미래에셋 TIGER 미디어컨텐츠 증권상장지수투자신탁(주식),TIGER 미디어컨텐츠,MIRAE ASSET TIGER MEDIA CONTENTS ETF,2015/10/07,WISE 미디어컨텐츠 지수,WiseFn,일반,실물(패시브),국내,주식,"14,070,000",미래에셋자산운용,"30,000",0.500000,비과세
267,KR7364970004,364970,미래에셋 TIGER 바이오TOP10 증권상장지수투자신탁(주식),TIGER 바이오TOP10,MIRAE ASSET TIGER KRX BIO K-NEW DEAL ETF,2020/10/07,KRX 바이오 TOP 10 지수,KRX,일반,실물(패시브),국내,주식,"16,000,000",미래에셋자산운용,"50,000",0.400000,비과세
268,KR7091230003,091230,미래에셋 TIGER 반도체 증권상장지수투자신탁(주식),TIGER 반도체,MIRAE ASSET TIGER SEMICON ETF,2006/06/27,KRX 반도체,KRX,일반,실물(패시브),국내,주식,"6,660,000",미래에셋자산운용,"20,000",0.460000,비과세
269,KR7098560006,098560,미래에셋 TIGER 방송통신증권상장지수투자신탁(주식),TIGER 방송통신,MIRAE ASSET TIGER MEDIA&TELECOM ETF,2007/09/07,KRX 방송통신,KRX,일반,실물(패시브),국내,주식,"540,000",미래에셋자산운용,"20,000",0.460000,비과세
270,KR7472150002,472150,미래에셋 TIGER 배당프리미엄액티브증권상장지수투자신탁(주식),TIGER 배당프리미엄액티브,MIRAE ASSET TIGER DIVIDEND PREMIUM ACTIVE ETF,2023/12/12,코스피 200 커버드콜 5% OTM,KRX,일반,실물(액티브),국내,주식,"5,000,000",미래에셋자산운용,"10,000",0.500000,배당소득세(보유기간과세)
271,KR7138520002,138520,미래에셋 TIGER 삼성그룹 증권상장지수투자신탁(주식),TIGER 삼성그룹펀더멘털,MIRAE ASSET TIGER SAMSUNG GROUP ETF,2011/03/07,MKF SAMs FW,FnGuide,일반,실물(패시브),국내,주식,"2,220,000",미래에셋자산운용,"20,000",0.150000,비과세
272,KR7157490004,157490,미래에셋 TIGER 소프트웨어 증권상장지수투자신탁(주식),TIGER 소프트웨어,MIRAE ASSET TIGER SOFTWARE ETF,2012/05/16,FnGuide 소프트웨어 지수,FnGuide,일반,실물(패시브),국내,주식,"9,720,000",미래에셋자산운용,"20,000",0.400000,비과세
273,KR7463250001,463250,미래에셋 TIGER 스페이스테크iSelect증권상장지수투자신탁(주식),TIGER 스페이스테크iSelect,MIRAE ASSET TIGER Space Tech ETF,2023/07/25,iSelect 스페이스테크 지수,NH투자증권,일반,실물(패시브),국내,주식,"1,350,000",미래에셋자산운용,"50,000",0.450000,비과세
274,KR7228800009,228800,미래에셋 TIGER 여행레저 증권상장지수투자신탁(주식),TIGER 여행레저,MIRAE ASSET TIGER TOUR LEISURE ETF,2015/10/07,WISE 여행레저 지수,WiseFn,일반,실물(패시브),국내,주식,"37,980,000",미래에셋자산운용,"30,000",0.500000,비과세
275,KR7227570009,227570,미래에셋 TIGER 우량가치 증권상장지수투자신탁(주식),TIGER 우량가치,MIRAE ASSET TIGER QUALITY VALUE ETF,2015/09/23,FnGuide 퀄리티밸류 지수,FnGuide,일반,실물(패시브),국내,주식,"720,000",미래에셋자산운용,"30,000",0.400000,비과세
276,KR7261140008,261140,미래에셋 TIGER 우선주증권상장지수투자신탁(주식),TIGER 우선주,MIRAE ASSET TIGER PREFERRED STOCK ETF,2017/01/06,코스피 우선주 지수,KRX,일반,실물(패시브),국내,주식,"540,000",미래에셋자산운용,"20,000",0.290000,비과세
277,KR7130680002,130680,미래에셋 TIGER 원유선물 특별자산상장지수투자신탁(원유-파생형),TIGER 원유선물Enhanced(H),MIRAE ASSET TIGER WTI FUTURES ETF,2010/08/02,S&P GSCI Crude Oil Enhanced Index ER,S&P,일반,실물(패시브),해외,원자재,"5,500,000",미래에셋자산운용,"50,000",0.690000,배당소득세(보유기간과세)
278,KR7245350004,245350,미래에셋 TIGER 유로스탁스배당30 증권상장지수투자신탁(주식-파생형),TIGER 유로스탁스배당30,MIRAE ASSET TIGER EURO STOXX DIVIDEND 30 ETF,2016/07/01,Euro STOXX Select Dividend 30,STOXX,일반,실물(패시브),해외,주식,"1,200,000",미래에셋자산운용,"50,000",0.350000,배당소득세(해외주식투자전용ETF)
279,KR7091220004,091220,미래에셋 TIGER 은행 증권상장지수투자신탁(주식),TIGER 은행,MIRAE ASSET TIGER BANKS ETF,2006/06/27,KRX 은행,KRX,일반,실물(패시브),국내,주식,"1,460,000",미래에셋자산운용,"20,000",0.460000,비과세
280,KR7466940004,466940,미래에셋 TIGER 은행고배당플러스TOP10증권상장지수투자신탁(주식),TIGER 은행고배당플러스TOP10,MIRAE ASSET TIGER Bank High Dividend Plus TOP 10 Fn ETF,2023/10/17,FnGuide 은행고배당플러스TOP10 지수(시장가격 지수),FnGuide,일반,실물(패시브),국내,주식,"2,650,000",미래에셋자산운용,"50,000",0.300000,비과세
281,KR7307510008,307510,미래에셋 TIGER 의료기기증권상장지수투자신탁(주식),TIGER 의료기기,MIRAE ASSET TIGER HEALTHCARE EQUIP ETF,2018/11/08,FnGuide 의료기기 지수,FnGuide,일반,실물(패시브),국내,주식,"400,000",미래에셋자산운용,"50,000",0.500000,비과세
282,KR7453870008,453870,미래에셋 TIGER 인도니프티50증권상장지수투자신탁(주식-파생형),TIGER 인도니프티50,MIRAE ASSET TIGER INDIA NIFTY 50 ETF,2023/04/14,Nifty 50 Index,NSE(NSE Indices Limited),일반,실물(패시브),해외,주식,"15,100,000",미래에셋자산운용,"50,000",0.190000,배당소득세(보유기간과세)
